run_id,document,provider,model,prompt,question,answer
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What services does the Office of Student Accessibility Services (OSAS) provide?,OSAS ensures equal access for students with disabilities by providing academic accommodations and auxiliary aids in accordance with federal laws and university policy.
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,How can I get emergency assistance at USC?,"For emergency assistance, you can call USC Emergency at UPC: (213) 740-4321 or HSC: (323) 442-1000, which is available 24/7."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What support does the USC Campus Support and Intervention offer?,"USC Campus Support and Intervention assists students and families in resolving complex personal, financial, and academic issues that may affect student success."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What are the class days and times for ISE-536?,ISE-536 meets on Tuesdays and Thursdays from 4:00 PM to 5:50 PM.
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,Who is the instructor for the course and how can I contact them?,"The instructor is Niloufar Izadinia, and you can contact her via email at izadinia@usc.edu."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,Is there a prerequisite for enrolling in ISE-536?,"No, there are no prerequisites for enrolling in ISE-536."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What is the required textbook for the course?,"The required textbook is 'Optimization in Operations Research' by Ronald L. Rardin, either the first or second edition."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,How is the grading structured for this course?,"The grading is divided as follows: Homework 25%, Class Exercises and Participation 25%, Midterm 20%, and Final Exam 30%."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What are the rules regarding homework submissions?,"Homework is due at midnight on Friday of the following week, late submissions are not accepted, and the two lowest scores will be dropped. Students may collaborate but must submit individual work."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What is expected regarding class attendance and participation?,Students are expected to attend all classes and participate actively in discussions and exercises. Frequent absences may lead to a reduction in grade.
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,How are the midterm and final exams structured?,"Both exams are open book and open notes, take-home assignments that must be uploaded on Brightspace. Students have until midnight the following day to complete them."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What tools are required for in-class exercises?,"Students must have laptops, desktops, or iPads to complete and submit in-class exercises, which are done in pre-assigned teams."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What are the key topics covered in the course?,"The course covers topics such as optimization introduction, linear programming, duality theory, discrete optimization, network optimization, and multi-objective optimization."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,How should I communicate with the instructor and TA?,Always copy the TA in your emails to the instructor and include 'ISE 536' in the subject line for prompt responses.
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What is the grading scale for the course?,"The grading scale ranges from A (95-100) to F (<60), with specific ranges for each grade in between."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What constitutes academic dishonesty?,"Academic dishonesty includes cheating, plagiarism, fabrication of data, collusion, and any act intended to gain an unfair academic advantage."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What are the consequences of academic misconduct?,"Consequences can include failure on the assignment, failure in the course, suspension, or even expulsion from the university."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,How can students with disabilities receive accommodations?,"Students should register with the Office of Student Accessibility Services (OSAS), complete the initial appointment, and submit documentation to determine appropriate accommodations."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,How can I request accommodations for my classes?,"You should request accommodations as early in the semester as possible, as they are not retroactive. More information can be found at osas.usc.edu."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What mental health support services are available for students?,"Students can access free and confidential mental health treatment through Counseling and Mental Health at (213) 740-9355, available 24/7."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What should I do if I experience harassment or discrimination?,"You can contact the Office for Equity, Equal Opportunity, and Title IX at (213) 740-5086 for help and information on reporting options."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What services does the Office of Student Accessibility Services provide?,The Office of Student Accessibility Services ensures equal access for students with disabilities by providing academic accommodations and auxiliary aids in accordance with federal laws and university policy.
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,How can I get emergency assistance at USC?,"For emergency assistance, you can call USC Emergency at UPC: (213) 740-4321 or HSC: (323) 442-1000, which is available 24/7."
20251206_232608,syllabus.pdf,openai,gpt-4o-mini,simple,What support does the USC Campus Support and Intervention offer?,"USC Campus Support and Intervention assists students and families in resolving complex personal, financial, and academic issues that may affect student success."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What are the office hours for the instructor and teaching assistant?,The instructor's office hours are Wednesdays from 4:00 PM to 4:45 PM and Thursdays from 2:00 PM to 2:45 PM in GER 202. The teaching assistant's office hours will be announced on Brightspace.
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,How do I access course materials and assignments?,"Students must download lecture notes from the course website, and all handouts, including homework and exams, will be posted on the Brightspace course website."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,Is there a prerequisite for enrolling in this course?,"There are no prerequisites for this course, making it suitable for those with minimal background in the field."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What is the deadline for homework assignments?,Homework assignments are due at midnight on Friday of the following week after they are assigned on the second period of the week.
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What is the grading breakdown for the course?,"The grading policy is as follows: Homework 25%, Class Exercises and Participation 25%, Midterm 20%, and Final Exam 30%."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,Are late homework submissions accepted?,"No, late homework submissions are not accepted under any circumstances, but the two lowest homework scores will be dropped."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What are the participation expectations for this class?,Students are expected to read the preparation material and actively participate in discussions and exercises throughout the semester. Attendance and punctuality are also required.
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What is the procedure for taking exams?,"Exams are open book and open notes, taken at home and uploaded on Brightspace. Students have until midnight the day after the exam to complete it, and they are allowed only one attempt."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What happens if I miss a class?,"Frequent absences will result in a reduction in grade, so it's important to attend all classes for their full duration."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What is the deadline for submitting the final project?,"The final project is due on Wednesday, December 10, 2025, at 4:30 pm."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,How should I format my emails to the instructor?,Always include 'ISE 536' at the beginning of your email titles and copy the TA to ensure a prompt response.
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What is the grading scale for this course?,"The grading scale ranges from A [95, 100] to F < 60, with specific ranges for each grade in between."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What are the consequences of submitting work that is not original?,"Submitting non-original work can lead to serious consequences, including failure on the assignment, failure in the course, suspension, or even expulsion from the university."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,How can I obtain accommodations for a disability?,"To obtain accommodations, you must register with the Office of Student Accessibility Services (OSAS), complete an initial appointment, and submit the necessary documentation. Once approved, you will receive a Letter of Accommodation to share with your instructors."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What should I do if I'm unsure about what constitutes academic dishonesty?,"If you're unsure about what constitutes unauthorized assistance or what requires citation, you should ask your instructor for clarification."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What is the deadline for requesting accommodations?,"Accommodations should be requested as early in the semester as possible, as they are not retroactive."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,How can I contact OSAS for support?,You can contact OSAS at (213) 740-0776 or via email at osasfrontdesk@usc.edu for assistance.
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What services are available for mental health support?,"Free and confidential mental health treatment is available through Counseling and Mental Health at (213) 740-9355, including psychotherapy and crisis intervention."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,How can I request academic accommodations for a disability?,"You can request academic accommodations by contacting the Office of Student Accessibility Services (OSAS) at (213) 740-0776, which provides support in accordance with federal laws and university policy."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,What should I do if I face a personal or financial issue affecting my studies?,"You can reach out to USC Campus Support and Intervention at (213) 740-0411 for assistance in resolving complex personal, financial, and academic issues."
20251206_232631,syllabus.pdf,openai,gpt-4o-mini,user_centered,Who can I contact for emergency assistance on campus?,"For emergency assistance, you can call USC Emergency at UPC: (213) 740-4321 or HSC: (323) 442-1000, which is available 24/7."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What are the main topics covered in the ISE-536 course?,"The ISE-536 course covers linear programming models for resource allocation, simplex methods, duality, sensitivity analysis, transportation problems, and selected extensions to large scale and multi-objective models."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,Who is the instructor for the ISE-536 course and how can I contact them?,The instructor for the ISE-536 course is Niloufar Izadinia. You can contact her via email at izadinia@usc.edu.
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What are the prerequisites for enrolling in the ISE-536 course?,"There are no prerequisites for enrolling in the ISE-536 course, making it accessible for those with minimal background in the field."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What textbooks are required for the course?,"The required textbook is 'Optimization in Operations Research' by Ronald L. Rardin, available online. Additional references include works by Winston, Badiru and Omitaomu, Eiselt and Sandblom, and Ravindran, all of which are available online."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,How is the grading structured for the course?,"The grading is divided as follows: Homework 25%, Class Exercises and Participation 25%, Midterm 20%, and Final Exam 30%."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What are the policies regarding homework submissions?,"Homework is due at midnight on Fridays and must be submitted through Brightspace; late submissions are not accepted. However, the two lowest homework scores will be dropped."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What is expected regarding class attendance and participation?,Students are expected to attend all classes for the full duration and participate actively in discussions and exercises. Frequent absences will lead to a reduction in grade.
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What are the requirements for in-class exercises and mini-projects?,"Students must use laptops, desktops, or iPads to complete and submit in-class exercises, which will be done in pre-assigned teams."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,How are the midterm and final exams structured?,"The midterm and final exams are open book and open notes, take-home assessments that must be uploaded on Brightspace. Students have until midnight the day after the exam to complete it, with only one attempt allowed."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What is the grading scale for the course ISE 536?,"The grading scale for ISE 536 is as follows: A [95, 100], A- [90, 95), B+ [87, 90), B [84, 87), B- [80, 84), C+ [77, 80), C [74, 77), C- [70, 74), D+ [67, 70), D [64, 67), D- [60, 64), and F < 60."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,How should I communicate with the instructor and TA for ISE 536?,"When emailing the instructor, always copy the TA and include 'ISE 536' at the beginning of your email title to ensure a prompt response."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What topics are covered in the ISE 536 course outline?,"The ISE 536 course covers topics including optimization introduction, linear programming, duality theory, discrete optimization, network optimization, and large-scale optimization."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What constitutes academic dishonesty at the university?,"Academic dishonesty includes cheating, plagiarism, fabrication, collusion, and any act intended to gain an unfair academic advantage. Submitting work not originally created for the course or recycling work from other courses without permission also falls under this category."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What are the potential consequences of academic misconduct?,"Consequences of academic misconduct can include failure on the assignment, failure in the course, suspension, or even expulsion from the university. All incidents will be reported to the Office of Academic Integrity."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,How can students with disabilities receive accommodations?,"Students with disabilities can receive accommodations by registering with the Office of Student Accessibility Services (OSAS), completing the initial appointment, and submitting required documentation. Once accommodations are determined, a Letter of Accommodation (LOA) will be provided for each course."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,How can I request accommodations at USC?,"You should request accommodations as early in the semester as possible, as they are not retroactive. More information can be found at osas.usc.edu."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What mental health services are available to USC students?,"USC offers free and confidential mental health treatment through Counseling and Mental Health, available 24/7 at (213) 740-9355, including psychotherapy and crisis intervention."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What should I do if I experience harassment or discrimination at USC?,"You can contact the Office for Equity, Equal Opportunity, and Title IX at (213) 740-5086 for information on reporting options and resources related to harassment or discrimination."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What services does the Office of Student Accessibility Services (OSAS) provide?,OSAS ensures equal access for students with disabilities by providing academic accommodations and auxiliary aids in accordance with federal laws and university policy.
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,How can I get emergency assistance at USC?,"For emergency assistance, you can contact USC Emergency at UPC: (213) 740-4321 or HSC: (323) 442-1000, which is available 24/7."
20251206_232656,syllabus.pdf,openai,gpt-4o-mini,structured,What support does the Office of the Ombuds offer?,The Office of the Ombuds provides a safe and confidential space for students to discuss USC-related issues and explore options to manage their concerns.
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What is the purpose of the Office Policy Manual?,"The Office Policy Manual outlines the policies and procedures for Roman Realtors & Financial Services, Inc. to ensure consistent operations and compliance."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What sections are included in the Office Policy Manual?,"The manual includes sections on company information, independent contractor relationships, office procedures, client handling, file maintenance, advertising guidelines, and more."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,How does the company handle disputes?,"The manual includes a section on dispute resolution, outlining the procedures for addressing and resolving conflicts within the company."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What are my responsibilities as a salesperson?,"You are responsible for working in accordance with the Company's policies and procedures, and failure to comply may result in termination."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,How will I be informed about changes to the Policy Manual?,Changes to the Policy Manual will be distributed periodically through the Company's website and the member e-mail list.
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,Does this manual apply to all employees of the Company?,"No, this Manual applies only to salespersons and does not apply to Company staff employees."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What are my responsibilities regarding taxes and Social Security contributions?,You are responsible for paying your own taxes and Social Security contributions as an Independent Contractor.
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What does at-will status mean for my association with the Company?,"Your association with the Company is at-will, meaning either party can terminate the relationship at any time, with or without cause or notice."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What are the requirements for maintaining my real estate license?,"You must maintain a valid California real estate broker or salesperson license in good standing; if it expires or is suspended, you cannot engage in licensed activities for the Company."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,Can I use my own business cards and marketing materials?,"Yes, you can provide your own business cards and marketing materials, but you must follow the guidelines in the Manual under 'Advertising' in Section 8."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I do if I want to install a sign?,"Before installing a sign, ensure it complies with local guidelines and ordinances, and remember to remove it immediately after the listing expires or the sale closes."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,Where can I work as an agent?,"You can work from home, your own office, a vehicle, or any location of your choice, but you must be reachable and provide your current address to the Broker."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I do if I want to join the Multiple Listing Service (MLS)?,"As an associate-licensee with the Company, you must join the MLS, and the full list of associations/MLS is available on the Company’s website."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What are the consequences of not complying with MLS rules?,"Failure to comply with MLS rules may result in fines, suspension, expulsion, or removal of your listings, and could also lead to termination from the Company."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,How will I receive my tax reporting information?,"The Company will provide you with an IRS Form 1099-MISC at the end of each calendar year, detailing the compensation paid to you."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I do to ensure I can claim deductions for my expenses?,You should keep accurate records of all earnings and expenses related to your work with the Company and seek independent tax advice.
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,"What are trust funds in real estate, and how should they be handled?","Trust funds are money or valuables received on behalf of others, such as earnest money deposits. They must be deposited into a neutral escrow depository or a trust account within three business days of receipt."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,Is it permissible to accept cash payments from clients?,"No, it is illegal and impermissible to receive funds in your personal name or accept cash payments from clients."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,How should I handle files containing personally identifiable information?,"You must treat all files with personally identifiable information with care and confidentiality, ensuring they are kept secure and disposed of properly."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What are my responsibilities regarding my personal automobile used for business?,"You are responsible for keeping your automobile clean, well-maintained, and insured, as well as for any damage or injury caused while driving."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I do if I want to buy or sell my own property?,"You can buy or sell your own real estate, but you must disclose in writing that you are a real estate licensee and cannot represent both the buyer and seller in the same transaction."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What is the Transaction Coordination service offered by the company?,"The Transaction Coordination service is optional and helps ensure that the transaction file is completed and complies with all Company requirements. If you choose not to use it, you are responsible for this compliance."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What is the Risk Management Fee and how is it applied?,"The Risk Management Fee is an annual fee established by the Company, deducted from each associate-licensee’s earned gross commission, to cover costs related to Errors & Omissions insurance and other risk management expenses."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,How can I earn the Recruitment Incentive Bonus?,"You can earn a $100 bonus for each closed transaction conducted by an agent you recruit, provided that the full Broker commission is paid. More details can be found in the Addendum to your Independent Contractor Agreement."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What are the two forms of agency recognized by the Company?,"The Company recognizes Single Agency, where either a Seller’s Agent or Buyer’s Agent exclusively represents one party, and Dual Agency, where the same broker represents both the buyer and seller."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What fiduciary duties does an agent owe to their principal?,"An agent has a fiduciary duty to act with utmost care, integrity, honesty, and loyalty, and must also provide honesty, good faith, fair dealing, and disclose any known facts that materially affect the property."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What is required for agency disclosure?,You must provide a statutory disclosure form titled 'Disclosure Regarding Real Estate Agency Relationships' to inform parties about the agency relationship.
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What must I provide to the seller before entering into a listing agreement?,You must provide the seller with a disclosure form regarding agency policy before entering into the listing agreement.
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,When should I provide a buyer with an agency disclosure?,You must provide the buyer with an agency disclosure as soon as practicable before executing an offer to purchase.
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I ensure if the property is in escrow?,Ensure that the listing does not expire before the close of escrow and obtain all modifications or extensions in writing.
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I do before showing a property to clients?,"Whenever possible, preview the property beforehand to ensure it is suitable and to familiarize yourself with it, which will help you be more effective during the showing."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,How should I prepare for an open house?,"Plan the open house in advance, advertise it, and ensure the property is clean and inviting by turning on lights and placing A-Frames in strategic locations."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I do if the seller is home during a showing?,"If the seller is present, explain your situation respectfully and ask for access to show the property to your client."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I do when showing a property to clients?,"Always ring the doorbell or knock loudly, enter first to verify no one is inside, and ensure your clients are not left unattended during the viewing."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,How should I handle contracts when representing a seller?,"Present all offers to the seller, review them for completeness and clarity, and ensure they reflect the seller's wishes before obtaining signatures."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What steps should I take after showing a property?,"Leave your business card in a visible place, return the property to its original state by turning off lights and locking doors, and notify the listing agent if you cannot show the property."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I do if my offer is missing a signature?,You must disclose the missing signature to the seller or listing agent and condition the offer on obtaining any missing signatures.
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What are the requirements for maintaining real estate transaction files?,"You must retain copies of all relevant documents, maintain a neat and orderly file, and upload executed documents to the company’s transaction file within 48 hours."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,Are referral fees allowed between real estate agents?,"Yes, referral fees may be paid or received between real estate brokers for the referral of clients, as an exception under the Real Estate Settlement Procedures Act (RESPA)."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What is the deadline for submitting required documents to the Broker?,You must submit all required documents within forty-eight (48) hours after receipt.
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I do if I'm unsure how to maintain a proper transaction file?,"If you're unsure, you should seek help from the Company’s Transaction Coordinator."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,Why is it important to have written agreements?,"Written agreements are essential because without them, you may not receive your commission."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What are my responsibilities regarding compensation for my assistants or employees?,You are solely responsible for arranging any compensation due to your assistants or employees; the Broker is not obligated to pay them.
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,Do I need a contract for my personal assistant or employee?,"Yes, you must have a written agreement that outlines the relationship and responsibilities, which must be approved by the Broker."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,Is Workers' Compensation insurance provided for my assistants?,"No, the Company does not provide Workers' Compensation insurance for assistants or employees; you are responsible for obtaining it as required by law."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What are the requirements for using the company's name and logo in advertisements?,"The company's name and logo must be included in all advertisements and must conform to the company's graphic standards, which are available on the company's website."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,How should I use the REALTOR® trademark?,"The REALTOR® trademark must be used in compliance with the National Association of REALTORS® guidelines, which can be found at www.realtor.org."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What are the rules regarding cold calling and do-not-call compliance?,"You must comply with do-not-call laws, which prohibit calling numbers on the National Do-Not-Call Registry unless exemptions apply. Cold calls cannot be made before 8:00 AM or after 9:00 PM, and you must identify yourself and provide your contact number."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What is the Company's stance on fair housing in advertising?,"The Company is committed to equal opportunity and fair housing, ensuring that advertisements do not use discriminatory language related to race, color, religion, sex, handicap, familial status, or national origin."
20251206_233145,Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I do if I experience harassment at the Company?,"If you believe you have been harassed, report the incident to the Broker as soon as possible, and you may be asked to submit a written complaint for investigation."
